Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
7198,C,M;C,Piotrowski,Udinese,6,5,1,7,6,1,15,17,0.04743387431102364,,,0.05066897022881006,,
5674,C,M;C,Basic,Venezia,6,6,0,7,7,0,19,20,0.07448959029034564,,,0.07887669574861464,,
7146,C,E;M,Tourè I.,Monza,6,6,0,7,8,-1,14,17,0.029078866336494685,,,0.06297290501625914,,
7624,C,C,Braganca,Torino,6,6,0,6,6,0,20,20,0.06747342485150225,,,0.10418395029282884,,
7528,C,M;C,Amondarain,Bologna,5,5,0,6,6,0,10,13,0.008184092166882595,,,0.014339300518316264,,
6640,C,W,Felici,Cagliari,5,5,0,4,4,0,7,7,0.08984032910317183,,,0.10196379642933608,,
7409,C,W;T,Meichtry,Genoa,5,5,0,5,5,0,11,13,0.007493320971139168,,,0.013129004304248251,,
5301,C,E;W,Luis Henrique,Inter,5,4,1,6,5,1,12,14,0.0738551632109049,,,0.0696615940861796,,
6629,C,C;T,Dele-Bashiru,Lazio,5,5,0,5,5,0,13,13,0.05486360139556622,,,0.09530466764773193,,
7203,C,M;C,Jashari,Milan,5,4,1,5,4,1,13,13,0.025804890282942274,,,0.02539569738713142,,
6898,C,M;C,Keita M.,Parma,5,5,0,6,6,0,15,17,0.043405563548991555,,,0.03063481334008669,,
7535,C,M;C,Fitz-Jim,Torino,5,4,1,6,5,1,18,23,0.05874129499749918,,,0.07828420351014326,,
6170,C,M;C,Gineitis,Torino,5,5,0,6,6,0,12,15,0.04404584596717828,,,0.06337739455464639,,
5507,C,M;C,Busio,Venezia,5,5,0,6,6,0,14,17,0.05601484818286017,,,0.08084064569912458,,
5319,C,C,Sohm,Venezia,5,5,0,5,5,0,11,11,0.025482585110554568,,,0.03379377283057884,,
6994,C,C;T,Perez K.,Venezia,5,5,0,5,5,0,15,15,0.03717570021650509,,,0.03788763482907885,,
6618,C,W;T,Cissè A.,Milan,5,3,2,5,3,2,24,24,0.06509952185871569,,,0.0833817039322304,,
22,C,M;C,De Roon,Roma,4,4,0,4,5,-1,10,13,0.0466946199805917,,,0.04316816907376051,,
6054,C,M;C,Moro N.,Bologna,4,4,0,4,4,0,14,17,0.06609796136813728,,,0.06128211844908563,,
6895,C,W;A,Dominguez B.,Sassuolo,4,3,1,3,2,1,12,12,0.06486160348120489,,,0.049450485600452676,,
7127,C,W;A,Addai,Como,4,5,-1,4,4,0,10,8,0.05079477858974746,,,0.13121177767844577,,
6206,C,C;T,Fabbian,Parma,4,4,0,4,4,0,8,8,0.06478496996979964,,,0.08349621289654782,,
7473,C,M;C,Cichella,Frosinone,4,4,0,4,4,0,12,15,0.007167524407176595,,,0.012558178030150502,,
